city,population,average_income,area,subway
Kyiv,2566953,21347,836,Y
Lviv,725202,18590,160,N
Dnipro,1053951,14479,380,Y
Harkiv,1449871,12510,350.02,Y
Ivano-Frankivsk,215288,11827,88.73,N
Ternopil,226029,11455,59,N
Vinnitsa,354639,12555,113.16,N
Nizhin,76059,11853,43,N
Poltava,310755,13412,77,N
Chernihiv,296500,12500,79,N
Bahmut,83146,12000,74,N
Sumy,292139,12500,95.38,N
Herson,324424,13500,68,N
Konotop,91683,12119,43.77,N
Irpin,39950,13148,110,N
Mariupol,488462,17191,181.13,N
Donetsk,1007440,15480,571,N
Luhansk,459294,12266,286.2,N
Odesa,1010298,15500,163,N
Kremenchuk,232960,13412,92,N
